gender,age,PosAffect,NegAffect,Locomotion,Assessment,ArcherGarciaRatio,AcademAchieve
2,19,3.6,3.5,3.166666667,2.916666667,9,13.75
1,18,2.8,3.5,3.166666667,4.333333333,14,13.75
1,18,2.5,1.6,2,1.916666667,6,15
1,18,3.1,2.1,4,3.833333333,9,13.125
1,18,2.6,2.2,4,3.583333333,8,14.375
1,18,2.2,2.1,3.333333333,2.75,6,10.625
1,18,2.9,2.8,3.583333333,3.5,12,11.25
1,18,3.8,1.8,3.833333333,2.416666667,11,13.125
1,18,3.3,2.7,3,3.416666667,7,10.625
1,18,3.7,2.1,3.166666667,3.083333333,10,15.625
1,18,1.9,3.1,2.75,4.666666667,8,13.75
1,18,3.3,3.6,4.083333333,4.833333333,11,17.5
1,18,3.9,1.4,4.916666667,3.666666667,13,11.25
1,18,2.9,2.4,4.5,5.25,8,13.75
1,18,3.4,2.6,2.666666667,3.5,10,11.875
1,18,2.5,2.7,4.666666667,4.5,12,15
1,18,2.6,3.4,3.416666667,4.916666667,12,14.375
1,18,3,2.7,3,3.75,12,11.25
2,18,3.1,2.7,3.5,4.916666667,10,18.125
2,18,4.3,1.1,4.666666667,3.5,15,16.25
2,18,3.7,1.7,4.166666667,3.583333333,10,15
2,18,3.6,1.4,3.75,3.25,10,15
2,18,3.4,3.3,4.75,4.333333333,8,20
2,18,2.9,3.3,3.583333333,4.5,2,13.125
2,18,3,2.8,3.5,4.083333333,8,13.125
2,18,3.8,2.1,3.166666667,3.666666667,13,17.5
2,18,3.2,2.3,3.75,3.583333333,13,12.5
2,18,3.7,2.3,3.833333333,3.666666667,10,15
2,18,4.3,1.8,4.25,4.25,12,18.125
2,18,4.6,3.2,4,4.416666667,12,13.75
2,18,3.8,1.3,3.75,3.666666667,13,13.75
2,18,4.2,1.6,3.5,5.333333333,15,15
2,18,3,3,4,4.25,11,16.25
2,18,3.2,1.8,3.166666667,3.5,11,14.375
2,18,4.4,1.6,5.25,3.666666667,13,15
2,18,2.8,2.4,3.333333333,4.416666667,8,15.625
2,18,3.5,1.9,3.916666667,3.5,12,17.5
2,18,4.3,2.9,4.666666667,4.25,15,12.5
2,18,3.2,3,3.666666667,3.5,9,13.125
2,18,3.6,2.3,3.416666667,4.333333333,13,18.125
2,18,3.8,2.4,3.666666667,3.25,10,13.125
2,18,3.5,1.5,3.166666667,4.416666667,12,18.125
2,18,2.9,2.3,3.083333333,3.25,12,15.625
2,18,3.9,2.6,4.166666667,4.5,10,14.375
2,18,5,5,4.083333333,3.583333333,2,10
2,18,3.3,2.5,3.5,4.083333333,13,16.25
2,18,3.6,2.3,3.5,4.166666667,10,15.625
2,18,3.7,1.4,4,3.833333333,12,14.375
2,18,3.4,2.2,3.083333333,4.083333333,11,14.375
2,18,3.3,1.3,3.5,4,8,16.25
2,18,2.9,2.8,3.083333333,4.416666667,12,16.25
2,18,4.5,1.7,5.166666667,2.666666667,11,16.875
2,18,3,2.3,3.333333333,2.75,9,14.375
2,18,3.8,1.7,4.416666667,3.083333333,14,15
2,18,3.2,2.7,3.916666667,3.583333333,12,10
2,18,3.3,2.8,3.083333333,3.666666667,15,12.5
2,18,4.2,1.5,4.25,4.166666667,14,18.125
2,18,2.7,2.4,3.5,3.583333333,9,16.875
2,18,3.1,1.4,3.25,3,8,13.75
2,18,2.8,1.6,3.5,4.25,15,15.625
2,18,3.8,2.8,3.666666667,3.833333333,9,16.875
2,18,3.4,1.6,3.083333333,4.583333333,15,18.125
2,18,3.2,2.8,3,4.416666667,11,13.75
2,18,3.7,1.9,4.916666667,4.083333333,11,17.5
2,18,4,1.7,3.666666667,3.666666667,12,17.5
2,18,3.9,2.6,4.833333333,4.916666667,12,18.125
2,18,2.7,1.2,3.5,3.416666667,10,17.5
2,18,3.4,1.7,3.75,4.166666667,13,17.5
2,18,3.6,3.1,3.916666667,3.833333333,12,15
2,18,3.4,2.1,3.25,3.416666667,2,15.625
2,18,2.5,1.5,3.583333333,3.75,11,15
2,18,3.4,2.4,3.833333333,4.166666667,15,16.875
2,18,3.1,2,3.166666667,4,11,14.375
1,17,4.4,3.6,4.583333333,4.5,13,16.25
1,17,4.7,1.8,4.583333333,4.083333333,12,11.25
1,17,3.6,1.7,4.666666667,3.166666667,12,16.25
2,17,3.1,2.8,4.5,3.75,10,12.5
2,17,4.1,1.1,3.833333333,3.833333333,10,16.875
2,17,3.7,2.5,4,3.916666667,11,13.75
2,17,3.9,1.4,4.333333333,3.333333333,13,18.75
2,17,3,2,3.833333333,3.833333333,13,14.375
2,17,3.1,2.1,3.083333333,3.083333333,8,15
2,17,3.1,2.5,3.833333333,3.666666667,8,14.375
2,17,3.4,2.8,5,3.583333333,9,15.625
2,17,2.8,1.4,2.833333333,4.083333333,9,16.25
2,17,5,1.6,4.666666667,3.75,11,13.125
2,17,1.6,2.2,3.166666667,4,10,14.375
2,17,2.2,3.4,4.083333333,4.083333333,10,13.125
1,18,3.9,1.2,4.666666667,4.416666667,10,16.875
1,18,4,2.3,4.916666667,4.083333333,12,18.125
1,17,3.4,2.1,4.083333333,2.916666667,13,17.5
2,17,4.1,1.4,4.5,3.166666667,13,17.5
1,18,3,1.1,3.833333333,2.25,11,18.125
1,18,2.7,3.7,3.916666667,4.333333333,12,18.125
1,18,3.3,1.8,4.583333333,3.916666667,13,16.875
2,18,3.6,1.4,4,3.333333333,11,16.25
1,17,2.4,2.4,4.25,4.666666667,11,17.5
2,17,3.1,2.5,3.333333333,4,7,16.875
1,18,3,2.1,3.5,3.333333333,8,13.75
1,18,2.6,2.7,3.833333333,3.833333333,6,14.375
1,18,4.3,1.6,4,3.416666667,14,16.875
2,18,3.3,3.1,3.25,5.083333333,11,17.5
2,18,4.1,2.2,4.666666667,2.666666667,11,16.25
1,17,3.5,2,3.916666667,4,12,13.75
1,18,3.9,2.1,4.333333333,2.75,12,14.375
1,18,3.1,1.6,3.666666667,2.416666667,14,18.125
2,18,4.9,2.1,5.25,5,8,10.625
2,18,2.6,2.3,3.833333333,3.916666667,10,13.75
2,17,3.9,1.7,3.833333333,3.083333333,12,14.375
2,18,3,3.6,3.166666667,3.25,14,10.625
2,18,4,3.1,5.25,4.583333333,14,12.5
2,18,1,2.6,1,4.25,13,11.25
1,17,3.2,2.7,3.666666667,3.166666667,8,13.125
2,17,4.3,2.8,4.916666667,4,13,11.875
2,17,3.2,1.5,4.416666667,2.333333333,15,10
2,17,2.9,3.2,3,3.916666667,9,11.25
