"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"1",1,2,"LMM",0,"hi",4,25,1.163151,2,50,1.020913,"nodist",0.173076923076923,0.0490196078431373,0.712358950694477,2.93,3,55
"9",9,5,"LMM",0,"hi",12,25,0.867036,1,50,1.090642,"nodist",0.480769230769231,0.0294117647058824,1.84128688677751,2.42,0,53
"17",17,6,"HMM",0,"hi",18,25,0.9906565,3,50,1.062458,"nodist",0.711538461538462,0.0686274509803922,2.04397633217005,5.77,4,74
"25",25,7,"",0,"hi",11,25,0.845085,0,50,NA,"nodist",0.442307692307692,0.00980392156862745,2.18864763359636,3.82,0,44
"33",33,8,"",0,"hi",9,25,1.166816,2,50,1.1352245,"nodist",0.365384615384615,0.0490196078431373,1.31033226280724,3.53,1,60
"41",41,9,"LMM",0,"hi",3,25,1.195595,2,50,0.763894,"nodist",0.134615384615385,0.0490196078431373,0.549598981728142,2.89,1,56
"48",48,10,"HMM",0,"hi",5,25,1.081535,8,50,1.036764,"nodist",0.211538461538462,0.166666666666667,0.166327036819751,6.21,4,51
"56",56,11,"LMM",0,"hi",7,25,0.824375,1,50,0.586816,"nodist",0.288461538461538,0.0294117647058824,1.33162519749383,1.77,3,71
"64",64,12,"",0,"hi",11,25,0.820451,6,50,0.6651015,"nodist",0.442307692307692,0.127450980392157,0.993402537249295,3.55,1,67
"72",72,13,"",0,"hi",8,25,0.821185,2,50,1.011338,"nodist",0.326923076923077,0.0490196078431373,1.20600924238432,4.47,2,56
"80",80,14,"HMM",0,"hi",3,25,2.34621,4,50,2.075087,"nodist",0.134615384615385,0.0882352941176471,0.246866495968551,8.6,5,62
"87",87,15,"HMM",0,"hi",10,25,1.026949,1,50,1.047657,"nodist",0.403846153846154,0.0294117647058824,1.6461057825228,6.98,3,62
"95",95,16,"",0,"hi",1,25,1.150191,2,50,1.041528,"nodist",0.0576923076923077,0.0490196078431373,0.07998976047321,4.73,5,71
"103",103,17,"",0,"hi",11,25,0.745059,14,50,0.746748,"nodist",0.442307692307692,0.284313725490196,0.424953143971686,3.69,2,64
"111",111,18,"",0,"hi",6,25,0.996933,6,50,0.862835,"nodist",0.25,0.127450980392157,0.464033728263987,4.04,1,60
"119",119,19,"",0,"hi",7,25,1.210688,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,3.84,4,67
"127",127,20,"HMM",0,"hi",1,25,0.709894,2,50,0.9868485,"nodist",0.0576923076923077,0.0490196078431373,0.07998976047321,9.24,2,68
"135",135,21,"LMM",0,"hi",6,25,0.903696,2,50,1.1940425,"nodist",0.25,0.0490196078431373,0.979944975494171,2.76,5,73
"143",143,22,"HMM",0,"hi",6,25,1.1542395,2,50,1.399953,"nodist",0.25,0.0490196078431373,0.979944975494171,6.5,4,57
"151",151,23,"",0,"hi",12,25,1.094198,5,50,0.95933,"nodist",0.480769230769231,0.107843137254902,1.18985726199119,5.18,0,45
"159",159,24,"LMM",0,"hi",15,25,0.920093,3,50,1.081332,"nodist",0.596153846153846,0.0686274509803922,1.72949574714109,1.67,0,44
"165",165,25,"",0,"hi",13,25,0.935528,6,50,1.2096385,"nodist",0.519230769230769,0.127450980392157,1.18674655201599,5.45,5,67
"173",173,26,"HMM",0,"hi",7,25,1.013083,2,50,1.142026,"nodist",0.288461538461538,0.0490196078431373,1.09654996285065,6.55,0,46
"181",181,27,"",0,"hi",16,25,1.5178775,4,50,1.234862,"nodist",0.634615384615385,0.0882352941176471,1.69580470281368,4.8,5,67
"189",189,28,"",0,"hi",8,25,1.0341275,4,50,1.1494815,"nodist",0.326923076923077,0.0882352941176471,0.903276756624727,5.09,4,81
"197",197,29,"LMM",0,"hi",14,25,0.902108,1,50,0.876862,"nodist",0.557692307692308,0.0294117647058824,2.0346309015442,2.79,1,48
"205",205,30,"LMM",0,"hi",15,25,1.882092,3,50,1.796116,"nodist",0.596153846153846,0.0686274509803922,1.72949574714109,0.88,2,62
"213",213,31,"",0,"hi",7,25,1.11352,13,50,1.025422,"nodist",0.288461538461538,0.264705882352941,0.0710194547925914,5.29,0,77
"221",221,32,"",0,"hi",10,25,0.8243695,2,50,0.960817,"nodist",0.403846153846154,0.0490196078431373,1.41103054787962,3.99,0,50
