ID,Group,IntPsych,IntPhys,IQ
1,1,20,8,98
2,1,23,10,100
3,1,18,7,92
4,1,17,7,129
5,1,25,9,114
6,1,19,10,96
7,1,18,7,95
8,1,21,11,89
9,1,24,10,105
10,1,20,9,107
11,1,16,13,108
12,1,14,8,98
13,1,22,12,101
14,1,24,12,102
15,1,22,11,100
16,1,16,14,94
17,1,18,8,92
18,1,26,14,97
19,1,20,11,95
20,1,20,9,106
21,1,24,12,115
22,1,18,9,94
23,1,12,10,114
24,1,23,8,101
25,1,23,13,130
26,1,16,7,90
27,1,17,10,106
28,1,25,8,95
29,1,21,7,91
30,2,21,11,103
31,2,20,9,100
32,2,19,9,96
33,2,22,13,111
34,2,24,15,124
35,2,26,8,127
36,2,16,11,113
37,2,19,10,101
38,2,23,14,102
39,2,22,12,94
40,2,17,8,94
41,2,13,7,99
42,2,15,11,102
43,2,20,9,90
44,2,24,13,111
45,2,22,10,102
46,2,27,15,98
47,2,21,8,98
48,2,23,10,95
49,2,17,9,92
50,2,18,8,97
51,2,24,6,87
52,2,22,16,128
53,3,16,7,96
54,3,15,6,103
55,3,15,13,88
56,3,12,6,116
57,3,10,6,82
58,3,19,7,89
59,3,8,9,103
60,3,23,11,109
61,3,10,14,124
62,3,14,5,86
63,3,17,2,94
64,3,21,12,103
65,3,18,8,105
66,3,9,7,90
67,3,11,7,84
68,3,18,0,92
69,3,24,8,97
70,3,17,12,112
71,3,17,14,103
72,3,18,10,83
73,3,18,9,91
74,3,26,8,102
75,3,22,6,79
76,3,17,4,91
77,3,13,9,84
78,3,25,10,94
79,3,20,10,124
80,3,12,13,82
