ID,Age,Sex,Condition,Personality,T1,T2,T3,T4
1,21,Female,0,67,5,2,3,1
2,22,Female,1,63,4,1,5,2
3,24,Male,1,58,6,2,6,2
4,22,Female,1,51,2,3,6,5
5,19,Female,0,49,7,6,5,2
6,25,Female,1,45,6,3,6,5
7,24,Female,1,68,7,1,4,6
8,19,Male,1,58,4,7,3,4
9,21,Male,1,56,3,4,7,2
10,20,Female,0,74,6,1,6,2
11,18,Female,0,79,7,5,1,3
12,23,Femle,1,64,7,5,1,7
13,24,Female,0,53,3,3,5,5
14,24,Male,1,38,3,4,1,4
15,24,Female,0,65,7,5,6,6
16,23,Male,1,52,1,6,7,1
17,21,Male,1,63,7,3,4,7
18,25,Male,1,70,7,3,6,2
19,23,Female,1,60,2,2,2,7
20,24,Male,1,6,5,4,3,2
21,24,Male,0,58,4,1,2,1
22,21,Male,1,49,6,5,2,1
23,24,Male,1,65,3,4,3,1
24,22,Male,1,53,5,5,5,7
25,19,Femle,0,53,5,2,5,6
26,25,Male,0,81,6,6,6,4
27,21,Male,1,49,5,4,6,1
28,25,Female,0,38,7,2,7,7
29,22,Male,0,49,4,4,1,7
30,21,Femle,1,51,3,6,2,5
31,23,Male,0,45,6,2,1,7
32,21,Male,0,65,4,1,2,3
33,21,Female,1,69,5,1,4,2
34,19,Female,0,62,3,4,6,7
35,23,Male,0,59,5,5,2,1
36,23,Male,1,75,6,6,7,7
37,21,Male,0,56,2,1,6,7
38,25,Male,1,55,3,6,1,1
39,,Female,1,53,1,3,1,3
40,22,Female,0,52,4,7,1,1
41,19,Male,1,86,5,3,3,1
42,23,Male,1,81,1,7,6,1
43,20,Male,1,46,4,2,6,4
44,22,Female,0,58,5,7,2,1
45,18,Male,1,61,2,7,6,5
46,21,Female,0,37,1,5,2,5
47,20,Female,0,35,4,6,3,2
48,20,Male,0,49,7,3,3,2
49,18,Female,1,75,7,6,5,2
50,23,Female,0,45,4,6,6,6
