"","X.2","X.1","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis","Gender","Gender2","Gender3","Gender4","Gender5"
"1",1,717,717,96,"LMM",0,"hi",9,25,0.86143,4,50,1.0528515,"nodist",0.365384615,0.088235294,1.007599777,0.55,4,77,"1",1,"1","1","1"
"2",2,205,205,30,"LMM",0,"hi",15,25,1.882092,3,50,1.796116,"nodist",0.596153846,0.068627451,1.729495747,0.88,2,62,"2",2,"2","2","2"
"3",3,781,781,104,"LMM",0,"hi",6,25,0.8399685,0,50,NA,"nodist",0.25,0.009803922,1.659278825,1.09,4,77,"1",1,"1","1","1"
"4",4,592,592,80,"LMM",0,"hi",16,25,0.872474,4,50,0.9507205,"nodist",0.634615385,0.088235294,1.695804703,1.17,1,41,"2",1,"1","2","2"
"5",5,492,492,66,"LMM",0,"hi",16,25,0.9401855,1,50,1.002205,"nodist",0.634615385,0.029411765,2.233612423,1.29,1,50,"2",1,"1","2","2"
"6",6,340,340,47,"LMM",0,"hi",17,25,0.830861,15,50,0.857626,"nodist",0.673076923,0.303921569,0.961580146,1.55,1,46,"2",1,"1","2","2"
"7",7,348,348,48,"LMM",0,"hi",14,25,1.1615495,0,50,NA,"nodist",0.557692308,0.009803922,2.478889516,1.66,1,55,"2",1,"1","2","2"
"8",8,159,159,24,"LMM",0,"hi",15,25,0.920093,3,50,1.081332,"nodist",0.596153846,0.068627451,1.729495747,1.67,0,44,"2",2,"2","2","2"
"9",9,56,56,11,"LMM",0,"hi",7,25,0.824375,1,50,0.586816,"nodist",0.288461538,0.029411765,1.331625197,1.77,3,71,"2",2,"2","2","2"
"10",10,929,929,124,"LMM",0,"hi",6,25,1.237695,0,50,NA,"nodist",0.25,0.009803922,1.659278825,2.01,0,40,"2",2,"2","2","2"
"11",11,913,913,122,"LMM",0,"hi",8,25,1.110154,0,50,NA,"nodist",0.326923077,0.009803922,1.885343092,2.11,1,64,"2",2,"2","2","2"
"12",12,554,554,74,"LMM",0,"hi",5,25,1.318999,3,50,1.113037,"nodist",0.211538462,0.068627451,0.68499704,2.16,4,76,"1",1,"1","1","1"
"13",13,1025,1025,136,"LMM",0,"hi",8,25,1.1101835,6,50,1.0386675,"nodist",0.326923077,0.12745098,0.690097995,2.19,3,73,"2",2,"2","2","2"
"14",14,765,765,102,"LMM",0,"hi",13,25,2.018775,7,50,2.367901,"nodist",0.519230769,0.147058824,1.097354472,2.28,0,56,"1",1,"1","1","1"
"15",15,9,9,5,"LMM",0,"hi",12,25,0.867036,1,50,1.090642,"nodist",0.480769231,0.029411765,1.841286887,2.42,0,53,"1",1,"1","1","1"
"16",16,985,985,131,"LMM",0,"hi",12,25,0.965958,5,50,1.123093,"nodist",0.480769231,0.107843137,1.189857262,2.44,0,58,"2",2,"2","2","2"
"17",17,897,897,120,"LMM",0,"hi",8,25,1.244821,1,50,1.114966,"nodist",0.326923077,0.029411765,1.441084477,2.47,1,57,"1",1,"1","1","1"
"18",18,653,653,88,"LMM",0,"hi",11,25,0.911524,2,50,1.4729665,"nodist",0.442307692,0.049019608,1.509313784,2.6,1,50,"2",2,"2","2","2"
"19",19,460,460,62,"LMM",0,"hi",8,25,0.952984,0,50,NA,"nodist",0.326923077,0.009803922,1.885343092,2.63,0,55,"1",1,"1","1","1"
"20",20,741,741,99,"LMM",0,"hi",9,25,1.079512,4,50,0.970907,"nodist",0.365384615,0.088235294,1.007599777,2.66,0,55,"1",1,"1","1","1"
"21",21,277,277,39,"LMM",0,"hi",7,25,1.079776,0,50,NA,"nodist",0.288461538,0.009803922,1.775883812,2.68,2,59,"1",1,"1","1","1"
"22",22,562,562,75,"LMM",0,"hi",9,25,1.689534,0,50,NA,"nodist",0.365384615,0.009803922,1.989666112,2.68,3,68,"1",1,"1","1","1"
"23",23,388,388,53,"LMM",0,"hi",9,25,0.997722,0,50,NA,"nodist",0.365384615,0.009803922,1.989666112,2.68,4,64,"1",1,"1","1","1"
"24",24,677,677,91,"LMM",0,"hi",12,25,0.81642,18,50,0.871361,"nodist",0.480769231,0.362745098,0.302907761,2.7,1,60,"1",1,"1","1","1"
"25",25,578,578,78,"LMM",0,"hi",5,25,1.205529,3,50,1.011167,"nodist",0.211538462,0.068627451,0.68499704,2.73,1,59,"2",2,"2","2","2"
"26",26,993,993,132,"LMM",0,"hi",9,25,0.75606,6,50,0.9130925,"nodist",0.365384615,0.12745098,0.794421016,2.73,2,48,"2",2,"2","2","2"
"27",27,135,135,21,"LMM",0,"hi",6,25,0.903696,2,50,1.1940425,"nodist",0.25,0.049019608,0.979944975,2.76,5,73,"1",1,"1","1","1"
"28",28,197,197,29,"LMM",0,"hi",14,25,0.902108,1,50,0.876862,"nodist",0.557692308,0.029411765,2.034630902,2.79,1,48,"1",1,"1","1","1"
"29",29,253,253,36,"LMM",0,"hi",8,25,0.917147,2,50,1.195732,"nodist",0.326923077,0.049019608,1.206009242,2.79,2,56,"1",1,"1","1","1"
"30",30,598,598,81,"LMM",0,"hi",7,25,0.834435,12,50,1.0224715,"nodist",0.288461538,0.245098039,0.13211223,2.88,3,58,"2",2,"2","2","2"
"31",31,41,41,9,"LMM",0,"hi",3,25,1.195595,2,50,0.763894,"nodist",0.134615385,0.049019608,0.549598982,2.89,1,56,"1",1,"1","1","1"
"32",32,789,789,105,"LMM",0,"hi",6,25,1.559597,2,50,2.6137165,"nodist",0.25,0.049019608,0.979944975,2.92,2,65,"2",2,"2","2","2"
"33",33,1,1,2,"LMM",0,"hi",4,25,1.163151,2,50,1.020913,"nodist",0.173076923,0.049019608,0.712358951,2.93,3,55,"2",2,"2","2","2"
"34",34,570,570,77,"LMM",0,"hi",6,25,0.779151,3,50,0.710227,"nodist",0.25,0.068627451,0.811601819,2.95,5,92,"1",1,"1","1","1"
"35",35,396,396,54,"",0,"hi",10,25,1.998702,10,50,1.883173,"nodist",0.403846154,0.205882353,0.577387911,2.97,2,59,"1",1,"1","1","1"
