"","X","subjNum","groupStatus","numDist","conf","hitCount","allOldCount","rtHit","faCount","allNewCount","rtFA","distPresent","hitRate","faRate","dprime","mmi","adhd","bis"
"1",1,2,"LMM",0,"hi",4,25,1.163151,2,50,1.020913,"nodist",0.173076923076923,0.0490196078431373,0.712358950694477,2.93,3,55
"7",7,2,"LMM",6,"hi",12,25,0.9778765,2,50,1.020913,"dist",0.480769230769231,0.0490196078431373,1.60621165213433,2.93,3,55
"9",9,5,"LMM",0,"hi",12,25,0.867036,1,50,1.090642,"nodist",0.480769230769231,0.0294117647058824,1.84128688677751,2.42,0,53
"15",15,5,"LMM",6,"hi",8,25,0.7795715,1,50,1.090642,"dist",0.326923076923077,0.0294117647058824,1.4410844770275,2.42,0,53
"17",17,6,"HMM",0,"hi",18,25,0.9906565,3,50,1.062458,"nodist",0.711538461538462,0.0686274509803922,2.04397633217005,5.77,4,74
"23",23,6,"HMM",6,"hi",14,25,0.9516375,3,50,1.062458,"dist",0.557692307692308,0.0686274509803922,1.63121251054123,5.77,4,74
"25",25,7,"",0,"hi",11,25,0.845085,0,50,NA,"nodist",0.442307692307692,0.00980392156862745,2.18864763359636,3.82,0,44
"31",31,7,"",6,"hi",9,25,0.835175,0,50,NA,"dist",0.365384615384615,0.00980392156862745,1.98966611192412,3.82,0,44
"33",33,8,"",0,"hi",9,25,1.166816,2,50,1.1352245,"nodist",0.365384615384615,0.0490196078431373,1.31033226280724,3.53,1,60
"39",39,8,"",6,"hi",10,25,1.139257,2,50,1.1352245,"dist",0.403846153846154,0.0490196078431373,1.41103054787962,3.53,1,60
"41",41,9,"LMM",0,"hi",3,25,1.195595,2,50,0.763894,"nodist",0.134615384615385,0.0490196078431373,0.549598981728142,2.89,1,56
"46",46,9,"LMM",6,"hi",5,25,1.151255,2,50,0.763894,"dist",0.211538461538462,0.0490196078431373,0.853340196408303,2.89,1,56
"48",48,10,"HMM",0,"hi",5,25,1.081535,8,50,1.036764,"nodist",0.211538461538462,0.166666666666667,0.166327036819751,6.21,4,51
"54",54,10,"HMM",6,"hi",5,25,0.999527,8,50,1.036764,"dist",0.211538461538462,0.166666666666667,0.166327036819751,6.21,4,51
"56",56,11,"LMM",0,"hi",7,25,0.824375,1,50,0.586816,"nodist",0.288461538461538,0.0294117647058824,1.33162519749383,1.77,3,71
"62",62,11,"LMM",6,"hi",9,25,0.882952,1,50,0.586816,"dist",0.365384615384615,0.0294117647058824,1.54540749745041,1.77,3,71
"64",64,12,"",0,"hi",11,25,0.820451,6,50,0.6651015,"nodist",0.442307692307692,0.127450980392157,0.993402537249295,3.55,1,67
"70",70,12,"",6,"hi",14,25,0.7581935,6,50,0.6651015,"dist",0.557692307692308,0.127450980392157,1.28364441967084,3.55,1,67
"72",72,13,"",0,"hi",8,25,0.821185,2,50,1.011338,"nodist",0.326923076923077,0.0490196078431373,1.20600924238432,4.47,2,56
"78",78,13,"",6,"hi",12,25,0.922856,2,50,1.011338,"dist",0.480769230769231,0.0490196078431373,1.60621165213433,4.47,2,56
"80",80,14,"HMM",0,"hi",3,25,2.34621,4,50,2.075087,"nodist",0.134615384615385,0.0882352941176471,0.246866495968551,8.6,5,62
"85",85,14,"HMM",6,"hi",7,25,2.025578,4,50,2.075087,"dist",0.288461538461538,0.0882352941176471,0.793817477091063,8.6,5,62
"87",87,15,"HMM",0,"hi",10,25,1.026949,1,50,1.047657,"nodist",0.403846153846154,0.0294117647058824,1.6461057825228,6.98,3,62
"93",93,15,"HMM",6,"hi",9,25,1.157628,1,50,1.047657,"dist",0.365384615384615,0.0294117647058824,1.54540749745041,6.98,3,62
"95",95,16,"",0,"hi",1,25,1.150191,2,50,1.041528,"nodist",0.0576923076923077,0.0490196078431373,0.07998976047321,4.73,5,71
"101",101,16,"",6,"hi",1,25,1.347361,2,50,1.041528,"dist",0.0576923076923077,0.0490196078431373,0.07998976047321,4.73,5,71
"103",103,17,"",0,"hi",11,25,0.745059,14,50,0.746748,"nodist",0.442307692307692,0.284313725490196,0.424953143971686,3.69,2,64
"109",109,17,"",6,"hi",10,25,0.849099,14,50,0.746748,"dist",0.403846153846154,0.284313725490196,0.326669907371829,3.69,2,64
"111",111,18,"",0,"hi",6,25,0.996933,6,50,0.862835,"nodist",0.25,0.127450980392157,0.464033728263987,4.04,1,60
"117",117,18,"",6,"hi",13,25,0.927637,6,50,0.862835,"dist",0.519230769230769,0.127450980392157,1.18674655201599,4.04,1,60
"119",119,19,"",0,"hi",7,25,1.210688,0,50,NA,"nodist",0.288461538461538,0.00980392156862745,1.77588381196754,3.84,4,67
"125",125,19,"",6,"hi",4,25,1.5187005,0,50,NA,"dist",0.173076923076923,0.00980392156862745,1.39169279981136,3.84,4,67
"127",127,20,"HMM",0,"hi",1,25,0.709894,2,50,0.9868485,"nodist",0.0576923076923077,0.0490196078431373,0.07998976047321,9.24,2,68
"133",133,20,"HMM",6,"hi",2,25,0.962576,2,50,0.9868485,"dist",0.0961538461538462,0.0490196078431373,0.350652053586766,9.24,2,68
"135",135,21,"LMM",0,"hi",6,25,0.903696,2,50,1.1940425,"nodist",0.25,0.0490196078431373,0.979944975494171,2.76,5,73
"141",141,21,"LMM",6,"hi",7,25,0.928889,2,50,1.1940425,"dist",0.288461538461538,0.0490196078431373,1.09654996285065,2.76,5,73
"143",143,22,"HMM",0,"hi",6,25,1.1542395,2,50,1.399953,"nodist",0.25,0.0490196078431373,0.979944975494171,6.5,4,57
"149",149,22,"HMM",6,"hi",6,25,1.112643,2,50,1.399953,"dist",0.25,0.0490196078431373,0.979944975494171,6.5,4,57
"151",151,23,"",0,"hi",12,25,1.094198,5,50,0.95933,"nodist",0.480769230769231,0.107843137254902,1.18985726199119,5.18,0,45
"157",157,23,"",6,"hi",7,25,1.243777,5,50,0.95933,"dist",0.288461538461538,0.107843137254902,0.680195572707509,5.18,0,45
"159",159,24,"LMM",0,"hi",15,25,0.920093,3,50,1.081332,"nodist",0.596153846153846,0.0686274509803922,1.72949574714109,1.67,0,44
"163",163,24,"LMM",6,"hi",17,25,1.048757,3,50,1.081332,"dist",0.673076923076923,0.0686274509803922,1.93451705263639,1.67,0,44
"165",165,25,"",0,"hi",13,25,0.935528,6,50,1.2096385,"nodist",0.519230769230769,0.127450980392157,1.18674655201599,5.45,5,67
