ID,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,RT_7,RT_8,RT_9,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
1,1.933,4.141,2.692,3.019,1.446,5.122,2.667,4.317,1.762,2.695,1.455,4.148,2.365,2.309,2.780,3.974,3.066,3.873,2.589,2.395,3.445,3.081,4.122,2.766,1.100,3.826,1.505,3.395,2.035,3.184
2,4.586,4.598,2.796,4.052,2.216,3.736,3.865,5.527,3.760,2.652,5.115,4.295,5.352,3.278,3.960,3.902,2.615,3.701,3.363,4.267,3.716,4.691,4.979,2.358,3.157,4.603,4.306,5.390,3.486,5.483
3,3.067,1.851,2.394,2.130,3.760,3.035,2.925,1.962,4.063,2.296,2.407,1.147,2.768,1.049,2.902,3.733,2.259,2.120,3.044,3.715,3.225,2.962,3.038,5.075,3.778,3.761,2.338,3.614,3.569,3.048
4,3.871,2.929,3.789,2.615,4.425,NA,2.851,3.807,0.392,3.443,3.246,3.649,2.642,3.840,3.128,6.023,3.343,1.956,4.621,3.758,3.458,3.118,2.827,3.971,1.195,2.963,1.653,2.516,1.871,5.568
5,4.781,5.699,3.352,4.383,3.038,3.203,3.669,4.330,3.461,4.101,4.298,4.467,5.052,6.009,4.406,6.193,5.176,3.916,3.152,2.101,5.121,4.901,2.644,2.731,4.313,4.918,6.338,2.183,5.746,4.041
6,1.491,1.405,2.892,1.786,3.278,NA,1.326,1.980,1.642,0.303,3.274,0.994,1.740,3.302,1.871,3.408,0.368,2.871,1.906,0.716,1.009,1.930,1.111,1.288,2.259,2.108,1.228,1.863,1.685,0.301
7,1.233,1.636,1.354,2.435,0.981,3.445,0.309,1.652,1.238,2.710,2.001,1.583,1.420,2.599,2.250,2.021,2.008,1.945,2.068,0.321,2.975,1.050,1.024,1.030,1.160,2.678,2.138,2.108,2.414,2.680
8,4.507,5.728,4.824,3.002,5.769,NA,2.377,3.488,4.742,5.014,3.173,4.633,5.013,5.333,3.582,5.026,3.245,3.988,4.345,2.738,4.979,4.009,3.381,4.591,4.999,2.678,5.589,4.762,3.093,5.044
9,3.223,1.960,3.849,2.662,1.790,1.621,2.028,4.091,2.991,2.271,1.436,3.127,4.057,3.480,4.181,4.229,2.920,2.301,3.365,1.678,3.053,4.231,3.072,1.141,2.610,3.141,3.898,3.555,4.149,2.753
10,1.020,3.043,1.531,2.166,3.715,2.048,0.282,2.384,2.431,0.017,1.750,2.601,1.435,1.849,0.952,4.258,0.831,1.757,1.833,3.469,2.740,2.375,2.617,2.350,4.219,2.382,1.261,1.761,1.496,1.007
