gender,age,PWB,Locomotion,Assessment,Exercise,AcademAchieve
2,19,4.444444444,3.166666667,2.916666667,9,13.75
1,18,3.611111111,3.166666667,4.333333333,14,13.75
1,18,4.166666667,2,1.916666667,6,15
1,18,4,4,3.833333333,9,13.125
1,18,4.333333333,4,3.583333333,8,14.375
1,18,3.055555556,3.333333333,2.75,6,10.625
1,18,3.277777778,3.583333333,3.5,12,11.25
1,18,4.666666667,3.833333333,2.416666667,11,13.125
1,18,3.111111111,3,3.416666667,7,10.625
1,18,3.5,3.166666667,3.083333333,10,15.625
1,18,3.666666667,2.75,4.666666667,8,13.75
1,18,3.388888889,4.083333333,4.833333333,11,17.5
1,18,4.166666667,4.916666667,3.666666667,13,11.25
1,18,4.055555556,4.5,5.25,8,13.75
1,18,4.111111111,2.666666667,3.5,10,11.875
1,18,4.555555556,4.666666667,4.5,12,15
1,18,3.833333333,3.416666667,4.916666667,12,14.375
1,18,3.388888889,3,3.75,12,11.25
2,18,3.722222222,3.5,4.916666667,10,18.125
2,18,5.722222222,4.666666667,3.5,15,16.25
2,18,5.222222222,4.166666667,3.583333333,10,15
2,18,4.833333333,3.75,3.25,10,15
2,18,4.777777778,4.75,4.333333333,8,20
2,18,3.555555556,3.583333333,4.5,2,13.125
2,18,3.777777778,3.5,4.083333333,8,13.125
2,18,4.5,3.166666667,3.666666667,13,17.5
2,18,3.833333333,3.75,3.583333333,13,12.5
2,18,4,3.833333333,3.666666667,10,15
2,18,5.222222222,4.25,4.25,12,18.125
2,18,4.277777778,4,4.416666667,12,13.75
2,18,4.277777778,3.75,3.666666667,13,13.75
2,18,4.111111111,3.5,5.333333333,15,15
2,18,4.611111111,4,4.25,11,16.25
2,18,3.833333333,3.166666667,3.5,11,14.375
2,18,5.333333333,5.25,3.666666667,13,15
2,18,3.611111111,3.333333333,4.416666667,8,15.625
2,18,4.277777778,3.916666667,3.5,12,17.5
2,18,3.5,4.666666667,4.25,15,12.5
2,18,3.055555556,3.666666667,3.5,9,13.125
2,18,4.111111111,3.416666667,4.333333333,13,18.125
2,18,4.388888889,3.666666667,3.25,10,13.125
2,18,4.055555556,3.166666667,4.416666667,12,18.125
2,18,3.555555556,3.083333333,3.25,12,15.625
2,18,4.5,4.166666667,4.5,10,14.375
2,18,4.611111111,4.083333333,3.583333333,2,10
2,18,3.722222222,3.5,4.083333333,13,16.25
2,18,4.055555556,3.5,4.166666667,10,15.625
2,18,5.222222222,4,3.833333333,12,14.375
2,18,3.722222222,3.083333333,4.083333333,11,14.375
2,18,4.333333333,3.5,4,8,16.25
2,18,3.666666667,3.083333333,4.416666667,12,16.25
2,18,5.666666667,5.166666667,2.666666667,11,16.875
2,18,4.111111111,3.333333333,2.75,9,14.375
2,18,5,4.416666667,3.083333333,14,15
2,18,4.444444444,3.916666667,3.583333333,12,10
2,18,3.277777778,3.083333333,3.666666667,15,12.5
2,18,5.111111111,4.25,4.166666667,14,18.125
2,18,3.555555556,3.5,3.583333333,9,16.875
2,18,4.611111111,3.25,3,8,13.75
2,18,3.555555556,3.5,4.25,15,15.625
2,18,3.555555556,3.666666667,3.833333333,9,16.875
2,18,3.722222222,3.083333333,4.583333333,15,18.125
2,18,3.055555556,3,4.416666667,11,13.75
2,18,4.277777778,4.916666667,4.083333333,11,17.5
2,18,4.388888889,3.666666667,3.666666667,12,17.5
2,18,5,4.833333333,4.916666667,12,18.125
2,18,3.555555556,3.5,3.416666667,10,17.5
2,18,4.277777778,3.75,4.166666667,13,17.5
2,18,3.722222222,3.916666667,3.833333333,12,15
2,18,4.722222222,3.25,3.416666667,2,15.625
2,18,4.5,3.583333333,3.75,11,15
2,18,3.833333333,3.833333333,4.166666667,15,16.875
2,18,4.055555556,3.166666667,4,11,14.375
1,17,4.277777778,4.583333333,4.5,13,16.25
1,17,5.055555556,4.583333333,4.083333333,12,11.25
1,17,4.777777778,4.666666667,3.166666667,12,16.25
2,17,4.444444444,4.5,3.75,10,12.5
2,17,4.5,3.833333333,3.833333333,10,16.875
2,17,4.666666667,4,3.916666667,11,13.75
2,17,4.277777778,4.333333333,3.333333333,13,18.75
2,17,3.833333333,3.833333333,3.833333333,13,14.375
2,17,3.833333333,3.083333333,3.083333333,8,15
2,17,4.333333333,3.833333333,3.666666667,8,14.375
2,17,3.777777778,5,3.583333333,9,15.625
2,17,4.611111111,2.833333333,4.083333333,9,16.25
2,17,5.333333333,4.666666667,3.75,11,13.125
2,17,2.888888889,3.166666667,4,10,14.375
2,17,3.611111111,4.083333333,4.083333333,10,13.125
1,18,5.111111111,4.666666667,4.416666667,10,16.875
1,18,4.166666667,4.916666667,4.083333333,12,18.125
1,17,3.833333333,4.083333333,2.916666667,13,17.5
2,17,5.388888889,4.5,3.166666667,13,17.5
1,18,4.722222222,3.833333333,2.25,11,18.125
1,18,4.055555556,3.916666667,4.333333333,12,18.125
1,18,4.277777778,4.583333333,3.916666667,13,16.875
2,18,5.055555556,4,3.333333333,11,16.25
1,17,4.222222222,4.25,4.666666667,11,17.5
2,17,4.166666667,3.333333333,4,7,16.875
1,18,3.944444444,3.5,3.333333333,8,13.75
1,18,3.333333333,3.833333333,3.833333333,6,14.375
1,18,5.277777778,4,3.416666667,14,16.875
2,18,3.611111111,3.25,5.083333333,11,17.5
2,18,4.111111111,4.666666667,2.666666667,11,16.25
1,17,3.888888889,3.916666667,4,12,13.75
1,18,4.888888889,4.333333333,2.75,12,14.375
1,18,4.666666667,3.666666667,2.416666667,14,18.125
2,18,5.333333333,5.25,5,8,10.625
2,18,4.555555556,3.833333333,3.916666667,10,13.75
2,17,5,3.833333333,3.083333333,12,14.375
2,18,3.444444444,3.166666667,3.25,14,10.625
2,18,4.944444444,5.25,4.583333333,14,12.5
2,18,2.722222222,1,4.25,13,11.25
1,17,4.555555556,3.666666667,3.166666667,8,13.125
2,17,5.055555556,4.916666667,4,13,11.875
2,17,3.611111111,4.416666667,2.333333333,15,10
2,17,3.166666667,3,3.916666667,9,11.25
