,years,item,price
0,1978,item1,99.19215528836503
1,1979,item1,95.1936708536911
2,1980,item1,101.78982146639913
3,1981,item1,103.68895085153117
4,1982,item1,101.57484389542502
5,1983,item1,101.4270121061262
6,1984,item1,99.37062801128667
7,1985,item1,107.13650628674768
8,1986,item1,100.67560958411178
9,1987,item1,101.53830959100233
10,1988,item1,107.07572897223079
11,1989,item1,107.81424298092767
12,1990,item1,97.46557428334239
13,1991,item1,107.55484568284533
14,1992,item1,91.76889834505027
15,1993,item1,106.21125928493825
16,1994,item1,107.24087835332537
17,1995,item1,99.028686337445
18,1996,item1,99.04244364855546
19,1997,item1,102.12157014274663
20,1998,item1,97.16876588952657
21,1999,item1,99.74038715624735
22,2000,item1,97.12865048983873
23,2001,item1,96.22203474410601
24,2002,item1,101.64216906081815
25,2003,item1,97.84805898523666
26,2004,item1,105.84433292340336
27,2005,item1,101.93770971706172
28,2006,item1,96.90877520467104
29,2007,item1,102.18611380047108
30,2008,item1,95.07074329520368
31,2009,item1,91.57425667420543
32,2010,item1,95.438849391483
33,2011,item1,101.12861454813547
34,2012,item1,101.59223794605708
35,2013,item1,103.242749353378
36,2014,item1,104.11950990679995
37,2015,item1,98.97964421598263
38,2016,item1,105.19376117460126
39,2017,item1,101.14496947972385
40,1978,item1,101.79380369312508
41,1979,item1,104.32635685765317
42,1980,item1,104.59555999412748
43,1981,item1,100.6144212455183
44,1982,item1,99.93745739173994
45,1983,item1,102.58049967133081
46,1984,item1,99.72039261593895
47,1985,item1,97.45314274726117
48,1986,item1,101.86422742355478
49,1987,item1,102.64945347747658
50,1988,item1,91.9037986648011
51,1989,item1,95.82189677945291
52,1990,item1,101.02735368104699
53,1991,item1,98.39488369148815
54,1992,item1,108.720254973012
55,1993,item1,93.76120297036692
56,1994,item1,95.64885414088373
57,1995,item1,99.83796408729575
58,1996,item1,100.11361889683722
59,1997,item1,99.76892449290756
60,1998,item1,98.27917220193271
61,1999,item1,93.4838151055611
62,2000,item1,104.06963917612056
63,2001,item1,90.97650919921647
64,2002,item1,100.86611458760812
65,2003,item1,89.29378683396554
66,2004,item1,92.54806567925004
67,2005,item1,102.18424772829154
68,2006,item1,98.81016191066482
69,2007,item1,103.76376611430824
70,2008,item1,99.56739101771494
71,2009,item1,99.36745934679874
72,2010,item1,96.06781099175866
73,2011,item1,103.88789099140675
74,2012,item1,94.94931552875147
75,2013,item1,100.71885589591153
76,2014,item1,98.67450077792961
77,2015,item1,106.7653781080704
78,2016,item1,102.45696944531831
79,2017,item1,105.78473910706965
80,1978,item1,99.50728172380092
81,1979,item1,101.50932201140682
82,1980,item1,100.78595606096556
83,1981,item1,100.45999875405154
84,1982,item1,102.19379039880921
85,1983,item1,104.91864105549048
86,1984,item1,102.84846090180564
87,1985,item1,103.56504107723262
88,1986,item1,107.97817278887666
89,1987,item1,100.38425953179794
90,1988,item1,94.04440925345467
91,1989,item1,111.6397310056767
92,1990,item1,103.69526168708356
93,1991,item1,89.45542414178685
94,1992,item1,95.41139287118335
95,1993,item1,95.4430786990542
96,1994,item1,100.5852808188082
97,1995,item1,95.08560223025235
98,1996,item1,98.60798198550683
99,1997,item1,100.97153633672784
100,1998,item1,92.05455039369353
101,1999,item1,96.3327424672412
102,2000,item1,103.98604600121264
103,2001,item1,99.92125993003292
104,2002,item1,100.50237320988563
105,2003,item1,99.12046312173898
106,2004,item1,102.44606707360973
107,2005,item1,109.96347927589076
108,2006,item1,100.81016006006385
109,2007,item1,99.29460477092478
110,2008,item1,103.98918614556415
111,2009,item1,95.58447232585267
112,2010,item1,98.50541562575997
113,2011,item1,100.65872026601532
114,2012,item1,98.76024471982201
115,2013,item1,103.75319135248209
116,2014,item1,93.72266689752033
117,2015,item1,106.00168451143504
118,2016,item1,95.1435550579835
119,2017,item1,103.13701085859702
120,1978,item1,104.4583104466457
121,1979,item1,99.3674354127088
122,1980,item1,106.25472149052695
123,1981,item1,102.79946732373642
124,1982,item1,95.26341441299255
125,1983,item1,105.60252779577446
126,1984,item1,97.81584017210423
127,1985,item1,101.13550733173912
128,1986,item1,98.69039880018433
129,1987,item1,101.72476005360079
130,1988,item1,101.90296429507175
131,1989,item1,98.08695049453745
132,1990,item1,92.28470811027452
133,1991,item1,100.39760536183148
134,1992,item1,102.43801184561406
135,1993,item1,98.9481911810371
136,1994,item1,103.24255340582268
137,1995,item1,98.13742652779527
138,1996,item1,94.87481547459855
139,1997,item1,111.38023674223706
140,1998,item1,103.22951386579717
141,1999,item1,93.71117318953736
142,2000,item1,95.80124061294869
143,2001,item1,108.8966361276629
144,2002,item1,93.52455090538413
145,2003,item1,94.6847910689416
146,2004,item1,99.6499627716978
147,2005,item1,105.46124656283286
148,2006,item1,103.99740639839506
149,2007,item1,100.37891428801252
150,2008,item1,87.05001317341873
151,2009,item1,100.72215681119683
152,2010,item1,94.6269249455982
153,2011,item1,105.6911104851429
154,2012,item1,99.03659433169634
155,2013,item1,106.25798293447637
156,2014,item1,93.23515100445954
157,2015,item1,100.8870665917659
158,2016,item1,105.83952174185102
159,2017,item1,97.3655836964379
160,1978,item1,96.67021253256725
161,1979,item1,103.82245813239099
162,1980,item1,96.45513389936346
163,1981,item1,99.60759712332239
164,1982,item1,93.6622720982941
165,1983,item1,93.80278019069962
166,1984,item1,102.94551051167987
167,1985,item1,102.70820027204856
168,1986,item1,103.2592734990002
169,1987,item1,103.22306415720885
170,1988,item1,97.53205348613658
171,1989,item1,96.25073327693174
172,1990,item1,92.84321985648549
173,1991,item1,96.57243433988974
174,1992,item1,106.08302847507811
175,1993,item1,101.1533197388631
176,1994,item1,97.00668658341503
177,1995,item1,100.34357760241309
178,1996,item1,103.01489705014718
179,1997,item1,100.28825709464978
180,1998,item1,99.87356998268965
181,1999,item1,99.06690105147864
182,2000,item1,107.6693469990317
183,2001,item1,100.0832574700664
184,2002,item1,99.973628065586
185,2003,item1,96.63270092301724
186,2004,item1,103.55834304476353
187,2005,item1,103.50973172834216
188,2006,item1,100.11825391351091
189,2007,item1,100.76610902480824
190,2008,item1,107.02041214806613
191,2009,item1,101.86463982223579
192,2010,item1,100.3035760455804
193,2011,item1,98.38535289493329
194,2012,item1,106.0462977974423
195,2013,item1,104.12798612102556
196,2014,item1,105.24805584163681
197,2015,item1,93.88690081748426
198,2016,item1,98.52523914009375
199,2017,item1,107.02695010989491
200,1978,item1,100.92086815802062
201,1979,item1,91.04000505015013
202,1980,item1,109.55414922956714
203,1981,item1,98.0596867075394
204,1982,item1,97.28292054309891
205,1983,item1,103.26376633233845
206,1984,item1,99.26012922109838
207,1985,item1,95.38856793580088
208,1986,item1,105.18485785725508
209,1987,item1,103.7073821846742
210,1988,item1,102.21754496986541
211,1989,item1,97.87813564914406
212,1990,item1,95.520030895027
213,1991,item1,90.55899849582313
214,1992,item1,102.73350715537988
215,1993,item1,96.66392518570784
216,1994,item1,101.56616082577419
217,1995,item1,98.17530172905155
218,1996,item1,99.19192786053016
219,1997,item1,91.77265791956074
220,1998,item1,103.90428180274398
221,1999,item1,89.01205528097012
222,2000,item1,94.65291392332847
223,2001,item1,98.397733775626
224,2002,item1,101.9470208773745
225,2003,item1,93.90191873085467
226,2004,item1,107.2891287279815
227,2005,item1,104.12462671652143
228,2006,item1,97.70347160432976
229,2007,item1,101.47136671781912
230,2008,item1,87.05923600373966
231,2009,item1,103.4214523157999
232,2010,item1,105.03712642135565
233,2011,item1,100.20893798491299
234,2012,item1,97.18036386389464
235,2013,item1,101.67750501916464
236,2014,item1,96.26650742669825
237,2015,item1,99.7913091783176
238,2016,item1,103.14442941771325
239,2017,item1,94.58212635169363
240,1978,item1,93.24297846608168
241,1979,item1,97.05300204304595
242,1980,item1,96.95412703963146
243,1981,item1,101.96803428096048
244,1982,item1,97.91341382119155
245,1983,item1,98.46048272406006
246,1984,item1,85.21889119630191
247,1985,item1,103.65656990825948
248,1986,item1,101.9580489204711
249,1987,item1,98.23875406783165
250,1988,item1,104.47563869016948
251,1989,item1,102.70636646496713
252,1990,item1,99.73245876531955
253,1991,item1,94.44247039119183
254,1992,item1,112.29711652719162
255,1993,item1,93.4108076911701
256,1994,item1,92.37377549725477
257,1995,item1,96.29848141197533
258,1996,item1,99.6596503385207
259,1997,item1,86.87920327062129
260,1998,item1,102.37968829141609
261,1999,item1,106.40819971866323
262,2000,item1,100.80317383312033
263,2001,item1,107.39476812309863
264,2002,item1,95.2689387469199
265,2003,item1,105.36167678171013
266,2004,item1,107.36107287625701
267,2005,item1,103.269548098218
268,2006,item1,100.87981443129298
269,2007,item1,96.97681508217475
270,2008,item1,92.77877434510387
271,2009,item1,96.88256809624622
272,2010,item1,106.22117888987579
