,years,item,price
0,1978,item1,101.6881779572007
1,1979,item1,87.3922438036155
2,1980,item1,98.83981507922356
3,1981,item1,102.70943262214338
4,1982,item1,110.13563065284657
5,1983,item1,102.11367697094609
6,1984,item1,104.93037439573473
7,1985,item1,97.4075514443297
8,1986,item1,100.97287435433213
9,1987,item1,96.85282888437574
10,1988,item1,104.23024259630196
11,1989,item1,99.54159362194979
12,1990,item1,101.92013999029305
13,1991,item1,99.12769573341873
14,1992,item1,99.95250537194315
15,1993,item1,94.52042263500192
16,1994,item1,102.80144280573468
17,1995,item1,93.16149971426438
18,1996,item1,104.35238128768651
19,1997,item1,98.6029392356452
20,1998,item1,104.09759964281874
21,1999,item1,102.700569399772
22,2000,item1,103.9207436667561
23,2001,item1,100.28108721983364
24,2002,item1,97.13923854209841
25,2003,item1,109.73844367594978
26,2004,item1,105.05678433774463
27,2005,item1,99.79736750055923
28,2006,item1,99.83515616839816
29,2007,item1,104.54695331937916
30,2008,item1,94.56776467030244
31,2009,item1,97.70393694642905
32,2010,item1,101.40679673442561
33,2011,item1,103.66568345325912
34,2012,item1,95.80766473666714
35,2013,item1,102.7572502058706
36,2014,item1,97.62169308561789
37,2015,item1,86.66246037442856
38,2016,item1,99.73361777375715
39,2017,item1,94.74149521116328
40,1978,item1,98.41865398487205
41,1979,item1,98.59823119619804
42,1980,item1,97.54527627043115
43,1981,item1,97.80533407774054
44,1982,item1,102.9740339020252
45,1983,item1,98.90725326191514
46,1984,item1,87.56946937728091
47,1985,item1,97.40812367110888
48,1986,item1,106.6701899811033
49,1987,item1,95.42982290150059
50,1988,item1,97.75428706214427
51,1989,item1,111.33686688343539
52,1990,item1,102.80361412614539
53,1991,item1,106.08006392069524
54,1992,item1,104.23723872661446
55,1993,item1,102.9454364309835
56,1994,item1,100.99901184836266
57,1995,item1,96.9406070746865
58,1996,item1,98.481291565273
59,1997,item1,93.7112691770867
60,1998,item1,98.57704297723174
61,1999,item1,98.3679513261149
62,2000,item1,103.2477978962142
63,2001,item1,101.49561143366616
64,2002,item1,95.27354077124456
65,2003,item1,97.75087223307268
66,2004,item1,107.82969583923096
67,2005,item1,92.25702233152894
68,2006,item1,108.97873124696146
69,2007,item1,95.65782302630807
70,2008,item1,102.97234903833507
71,2009,item1,98.44405480562524
72,2010,item1,96.73892311267302
73,2011,item1,93.7544585138757
74,2012,item1,109.7248537349347
75,2013,item1,102.96247759702042
76,2014,item1,97.88382107168573
77,2015,item1,101.96195187234476
78,2016,item1,105.3889451058876
79,2017,item1,98.37621400227955
80,1978,item1,105.31855776286166
81,1979,item1,103.67503682857559
82,1980,item1,108.32330957214782
83,1981,item1,95.31230248707124
84,1982,item1,94.4416687246109
85,1983,item1,97.56851563173912
86,1984,item1,93.08271653395133
87,1985,item1,106.91955204565656
88,1986,item1,95.69404436339613
89,1987,item1,106.12685047629671
90,1988,item1,92.32770177910747
91,1989,item1,104.60244313838955
92,1990,item1,105.70930586982446
93,1991,item1,91.53593765987841
94,1992,item1,98.97666134064234
95,1993,item1,101.5315539916477
96,1994,item1,93.85816880885197
97,1995,item1,103.19564895089049
98,1996,item1,101.1730938470059
99,1997,item1,103.8290370695414
100,1998,item1,102.571047269071
101,1999,item1,97.47660618328445
102,2000,item1,100.70806721098624
103,2001,item1,104.56673030153569
104,2002,item1,97.7871869155739
105,2003,item1,101.38468193205365
106,2004,item1,104.27719034364341
107,2005,item1,99.56324304313247
108,2006,item1,98.9019331867259
109,2007,item1,96.98045185981181
110,2008,item1,101.32622894868786
111,2009,item1,103.64686465227793
112,2010,item1,98.94427484206466
113,2011,item1,106.32112858869657
114,2012,item1,98.62484620478624
115,2013,item1,100.35773993818455
116,2014,item1,103.19418087470227
117,2015,item1,96.22355044614504
118,2016,item1,99.07925266411497
119,2017,item1,104.5233121072547
120,1978,item1,89.16984834170607
121,1979,item1,96.12304275708715
122,1980,item1,101.43571692623954
123,1981,item1,99.20800821625792
124,1982,item1,103.08640923580664
125,1983,item1,100.70103710972562
126,1984,item1,94.62291074152638
127,1985,item1,107.3636623466046
128,1986,item1,96.48167250874175
129,1987,item1,105.74923256740648
130,1988,item1,102.6019723220843
131,1989,item1,99.65431114857067
132,1990,item1,108.47272298980023
133,1991,item1,102.92643517648872
134,1992,item1,110.24193139344321
135,1993,item1,95.7857861588393
136,1994,item1,96.57489450516417
137,1995,item1,94.06579274765242
138,1996,item1,91.90569189218606
139,1997,item1,104.52162872653632
140,1998,item1,94.96529965888791
141,1999,item1,97.54502131562485
142,2000,item1,100.92576549287843
143,2001,item1,95.8121120758499
144,2002,item1,101.77443692915048
145,2003,item1,93.87064346641306
146,2004,item1,98.86120043824698
147,2005,item1,102.75626837872359
148,2006,item1,97.58139495171145
149,2007,item1,102.16563951985634
150,2008,item1,98.64863397268218
151,2009,item1,103.49932720848885
152,2010,item1,96.64218516463276
153,2011,item1,97.468805575581
154,2012,item1,100.80440658227198
155,2013,item1,105.47835782987737
156,2014,item1,87.99042768525267
157,2015,item1,102.45583635478992
158,2016,item1,102.40147957735194
159,2017,item1,99.62934263294449
160,1978,item1,107.17128710872603
161,1979,item1,97.39687346133456
162,1980,item1,101.41380772395125
163,1981,item1,95.81283171543153
164,1982,item1,98.79904263633128
165,1983,item1,99.60002915194623
166,1984,item1,96.04100472284384
167,1985,item1,94.85993373111012
168,1986,item1,92.95332907695321
169,1987,item1,97.74911758290116
170,1988,item1,94.63892597433295
171,1989,item1,107.85578033913814
172,1990,item1,95.81531529153179
173,1991,item1,91.18691682560426
174,1992,item1,98.91624846772756
175,1993,item1,106.09116486190183
176,1994,item1,99.63978102115402
177,1995,item1,96.23438021722033
178,1996,item1,99.97795911870936
179,1997,item1,111.41904709086819
180,1998,item1,100.66591115913798
181,1999,item1,106.67815392748189
182,2000,item1,107.26324629069535
183,2001,item1,101.36112232694886
184,2002,item1,97.678974300599
185,2003,item1,92.44649082207624
186,2004,item1,107.76976895397561
187,2005,item1,94.95389895948024
188,2006,item1,95.95772359049526
189,2007,item1,106.16089229504587
190,2008,item1,96.00902606611989
191,2009,item1,100.47272419543796
192,2010,item1,102.1492899222692
193,2011,item1,96.52142027477588
194,2012,item1,110.87254008903219
195,2013,item1,104.17809269982538
196,2014,item1,100.10964901917173
197,2015,item1,105.20552983897439
198,2016,item1,107.27093915326932
199,2017,item1,95.37252374856438
200,1978,item1,96.42690473847696
201,1979,item1,99.29867670785985
202,1980,item1,95.81193805210872
203,1981,item1,95.24770949002273
204,1982,item1,103.15740303900994
205,1983,item1,100.95204748621852
206,1984,item1,102.32382818261874
207,1985,item1,102.96745101790907
208,1986,item1,102.38904632442808
209,1987,item1,95.24664929242317
210,1988,item1,93.64128745997589
211,1989,item1,107.10500798990338
212,1990,item1,98.55841175472962
213,1991,item1,101.40334117202781
214,1992,item1,95.03735400017462
215,1993,item1,97.17148419042523
216,1994,item1,94.6764199745928
217,1995,item1,94.61942844049969
218,1996,item1,89.9622829506227
219,1997,item1,106.82869649730469
220,1998,item1,105.84213821008261
221,1999,item1,102.90290975968958
222,2000,item1,88.3659282873183
223,2001,item1,100.24201145983896
224,2002,item1,93.89067236736014
225,2003,item1,100.71086448932591
226,2004,item1,104.91217530065869
227,2005,item1,94.27722153230374
228,2006,item1,98.75043569743417
229,2007,item1,104.97503212263561
230,2008,item1,107.6732205447189
231,2009,item1,100.04997178964766
232,2010,item1,104.23899458655575
233,2011,item1,103.67193346367262
234,2012,item1,107.25594894710687
235,2013,item1,98.7507338297889
236,2014,item1,98.8389700259705
237,2015,item1,99.58057366271912
238,2016,item1,94.48237989683352
239,2017,item1,111.84155473048773
240,1978,item1,99.94308101381716
241,1979,item1,96.72627989102587
242,1980,item1,99.58998110264474
243,1981,item1,108.215444153831
244,1982,item1,100.13603409491944
245,1983,item1,91.92922494800301
246,1984,item1,109.3004954043881
247,1985,item1,100.82786872960222
248,1986,item1,102.71243932296157
249,1987,item1,91.64555998649818
250,1988,item1,96.26011051945237
251,1989,item1,103.82166421325526
252,1990,item1,104.67381555999637
253,1991,item1,106.56433693404534
254,1992,item1,95.90339187493142
255,1993,item1,101.79812737629983
256,1994,item1,102.16577823848823
257,1995,item1,89.95450122838767
258,1996,item1,95.37433873331175
259,1997,item1,102.36267929666762
260,1998,item1,106.45132939089677
261,1999,item1,102.03728205648025
262,2000,item1,104.6140059842479
263,2001,item1,105.31709771721779
264,2002,item1,106.94266217925131
265,2003,item1,96.78004727004647
266,2004,item1,87.89353434572396
267,2005,item1,87.36147369513644
268,2006,item1,97.25777279963083
269,2007,item1,95.73578613608343
270,2008,item1,90.76944947180519
271,2009,item1,102.91847673857423
272,2010,item1,95.3741080478208
273,2011,item1,104.21727680043547
274,2012,item1,99.89385345600596
275,2013,item1,105.21724658491021
276,2014,item1,105.77146253494475
277,2015,item1,94.37092111412775
278,2016,item1,92.10466647687876
279,2017,item1,102.53549860475901
280,1978,item1,94.61246461944079
281,1979,item1,100.70504326115923
282,1980,item1,105.30657683877406
283,1981,item1,100.4173205373356
284,1982,item1,96.22247985489383
285,1983,item1,101.23166242760271
286,1984,item1,95.1517592460426
287,1985,item1,102.16356543795916
288,1986,item1,93.8041809002821
289,1987,item1,95.87182000871871
290,1988,item1,100.21954546885434
291,1989,item1,102.64570857779965
292,1990,item1,101.01972268657508
293,1991,item1,107.63314060223283
294,1992,item1,93.57012391969313
295,1993,item1,100.51875579604446
296,1994,item1,100.38793145858905
297,1995,item1,101.39674699401357
298,1996,item1,95.23526341616038
299,1997,item1,101.23707189515781
300,1998,item1,107.80355372049976
301,1999,item1,99.53372633380286
302,2000,item1,100.68819040459661
303,2001,item1,103.11497862894477
304,2002,item1,103.59337313907173
305,2003,item1,107.99977526331325
306,2004,item1,98.50440452335137
307,2005,item1,101.66823586074617
308,2006,item1,99.30530531028735
309,2007,item1,96.6655290053249
310,2008,item1,87.4255956421681
311,2009,item1,94.516416671733
312,2010,item1,102.39469261689982
313,2011,item1,99.29967486292826
314,2012,item1,103.13861170770888
315,2013,item1,101.93507577778283
316,2014,item1,101.59993148118814
317,2015,item1,94.18792787133064
318,2016,item1,100.97915024868783
319,2017,item1,107.66459289820433
320,1978,item1,98.02293921337834
321,1979,item1,103.17385950974538
322,1980,item1,93.43185211651985
323,1981,item1,98.86469822815168
324,1982,item1,105.76791544743288
325,1983,item1,96.0794234776357
326,1984,item1,101.48254875846642
327,1985,item1,100.01670703833612
328,1986,item1,103.56683086110814
329,1987,item1,94.21440152568407
330,1988,item1,106.0234907840852
331,1989,item1,103.03759698639497
332,1990,item1,86.8021070770789
333,1991,item1,104.90287340339906
334,1992,item1,99.88027971404871
335,1993,item1,104.28116478219744
336,1994,item1,98.6595107106249
337,1995,item1,99.97312594727347
338,1996,item1,108.42991812870706
